cnpj,cd_cvm,denom,doc,dt_refer,versao,available_at,original_receb,restated,stmt,ni_source,moeda,ytd_months,ni_ytd,fy_start,ni_ttm,ttm_status,pit,first_seen_at
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2010-12-31,3,2011-04-30,2011-02-17,true,con,controladora,REAL,12,11296009000,2010-01-01,11296009000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2011-03-31,1,2011-05-10,2011-05-10,false,ind,total,REAL,3,2932363000,2011-01-01,11822580000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2011-06-30,1,2011-08-09,2011-08-09,false,ind,total,REAL,6,6262367000,2011-01-01,12427192000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2011-09-30,1,2011-11-03,2011-11-03,false,ind,total,REAL,9,9153653000,2011-01-01,12693715000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2011-12-31,4,2012-04-09,2012-02-14,true,con,controladora,REAL,12,12681922000,2011-01-01,12681922000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2012-03-31,1,2012-05-03,2012-05-03,false,ind,total,REAL,3,2554434000,2012-01-01,12303993000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2012-06-30,2,2012-08-14,2012-08-14,true,ind,total,REAL,6,5555940000,2012-01-01,11975495000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2012-09-30,1,2012-11-08,2012-11-08,false,ind,total,REAL,9,8360467000,2012-01-01,11888736000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2012-12-31,4,2013-03-25,2013-02-21,true,con,controladora,REAL,12,11245922000,2012-01-01,11245922000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2013-03-31,1,2013-05-15,2013-05-15,false,ind,total,REAL,3,2583016000,2013-01-01,11274504000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2013-06-30,1,2013-08-13,2013-08-13,false,ind,total,REAL,6,10033321000,2013-01-01,15723303000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2013-09-30,1,2013-11-12,2013-11-12,false,ind,total,REAL,9,12718352000,2013-01-01,15603807000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2013-12-31,4,2014-09-25,2014-02-13,true,con,controladora,REAL,12,10438066000,2013-01-01,10438066000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2014-03-31,1,2014-09-25,2014-05-07,false,ind,total,REAL,3,2774858000,2014-01-01,10629908000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2014-06-30,1,2014-09-25,2014-08-14,false,ind,total,REAL,6,5565190000,2014-01-01,5969935000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2014-09-30,1,2014-11-05,2014-11-05,false,ind,total,REAL,9,8308007000,2014-01-01,6027721000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2014-12-31,2,2015-03-27,2015-02-11,true,con,controladora,REAL,12,11853096000,2014-01-01,11853096000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2015-03-31,1,2015-05-14,2015-05-14,false,ind,total,REAL,3,5675916000,2015-01-01,14754154000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2015-06-30,1,2015-08-13,2015-08-13,false,ind,total,REAL,6,8606461000,2015-01-01,14894367000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2015-09-30,1,2015-11-12,2015-11-12,false,ind,total,REAL,9,11621215000,2015-01-01,15186975000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2015-12-31,3,2016-06-02,2016-02-25,true,con,controladora,REAL,12,14069582000,2015-01-01,14069582000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2016-03-31,1,2016-06-02,2016-05-12,false,ind,total,REAL,3,2310401000,2016-01-01,10704067000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2016-06-30,1,2016-08-11,2016-08-11,false,ind,total,REAL,6,4751915000,2016-01-01,10215036000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2016-09-30,1,2016-11-10,2016-11-10,false,ind,total,REAL,9,6971156000,2016-01-01,9419523000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2016-12-31,3,2017-03-24,2017-02-16,true,con,controladora,REAL,12,7027281000,2016-01-01,7027281000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2017-03-31,1,2017-05-11,2017-05-11,false,ind,total,REAL,3,2393193000,2017-01-01,7110073000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2017-06-30,1,2017-08-10,2017-08-10,false,ind,total,REAL,6,5017709000,2017-01-01,7293075000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2017-09-30,1,2017-11-09,2017-11-09,false,ind,total,REAL,9,7828873000,2017-01-01,7884998000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2017-12-31,2,2018-03-23,2018-02-22,true,con,controladora,REAL,12,10628794000,2017-01-01,10628794000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2018-03-31,1,2018-05-10,2018-05-10,false,ind,total,REAL,3,2726885000,2018-01-01,10962486000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2018-06-30,1,2018-08-09,2018-08-09,false,ind,total,REAL,6,5835115000,2018-01-01,11446200000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2018-09-30,1,2018-11-08,2018-11-08,false,ind,total,REAL,9,8927448000,2018-01-01,11727369000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2018-12-31,2,2019-03-22,2019-02-14,true,con,controladora,REAL,12,13825994000,2018-01-01,13825994000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2019-03-31,1,2019-05-09,2019-05-09,false,ind,total,REAL,3,3917522000,2019-01-01,15016631000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2019-06-30,1,2019-08-08,2019-08-08,false,ind,total,REAL,6,8119872000,2019-01-01,16110751000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2019-09-30,2,2019-11-07,2019-11-07,true,ind,total,REAL,9,12281608000,2019-01-01,17180154000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2019-12-31,2,2020-05-06,2020-02-13,true,con,controladora,REAL,12,16396896000,2019-01-01,16396896000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2020-03-31,1,2020-05-07,2020-05-07,false,ind,total,REAL,3,3189276000,2020-01-01,15668650000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2020-06-30,1,2020-08-06,2020-08-06,false,ind,total,REAL,6,6347858000,2020-01-01,14624882000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2020-09-30,1,2020-11-05,2020-11-05,false,ind,total,REAL,9,9385334000,2020-01-01,13500622000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2020-12-31,2,2021-03-29,2021-02-11,true,con,controladora,REAL,12,11851616000,2020-01-01,11851616000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2021-03-31,1,2021-05-06,2021-05-06,false,ind,total,REAL,3,4157202000,2021-01-01,12819542000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2021-06-30,1,2021-08-04,2021-08-04,false,ind,total,REAL,6,9724433000,2021-01-01,15228191000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2021-09-30,1,2021-11-08,2021-11-08,false,ind,total,REAL,9,14265932000,2021-01-01,16732214000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2021-12-31,2,2022-03-24,2022-02-14,true,con,controladora,REAL,12,18344326000,2021-01-01,18344326000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2022-03-31,1,2022-05-11,2022-05-11,false,con,controladora,REAL,3,4567917000,2022-01-01,19226444000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2022-06-30,1,2022-08-10,2022-08-10,false,con,controladora,REAL,6,12770136000,2022-01-01,23367791000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2022-09-30,1,2022-11-09,2022-11-09,false,con,controladora,REAL,9,20279069000,2022-01-01,27321192000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2022-12-31,1,2023-02-13,2023-02-13,false,con,controladora,REAL,12,27630407000,2022-01-01,27630407000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2023-03-31,1,2023-05-15,2023-05-15,false,con,controladora,REAL,3,6691197000,2023-01-01,29733722000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2023-06-30,1,2023-08-09,2023-08-09,false,con,controladora,REAL,6,15054105000,2023-01-01,29829805000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2023-09-30,1,2023-11-08,2023-11-08,false,con,controladora,REAL,9,23089164000,2023-01-01,30313034000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2023-12-31,1,2024-02-08,2024-02-08,false,con,controladora,REAL,12,29860965000,2023-01-01,29860965000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2024-03-31,1,2024-05-08,2024-05-08,false,con,controladora,REAL,3,8029522000,2024-01-01,31199290000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2024-06-30,1,2024-08-07,2024-08-07,false,con,controladora,REAL,6,16726479000,2024-01-01,31533339000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2024-09-30,1,2024-11-13,2024-11-13,false,con,controladora,REAL,9,21992490000,2024-01-01,28764291000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2024-12-31,1,2025-02-19,2025-02-19,false,con,controladora,REAL,12,26358860000,2024-01-01,26358860000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2025-03-31,1,2025-05-15,2025-05-15,false,con,controladora,REAL,3,3438804000,2025-01-01,21768142000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2025-06-30,1,2025-08-14,2025-08-14,false,con,controladora,REAL,6,6220887000,2025-01-01,15853268000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2025-09-30,1,2025-11-12,2025-11-12,false,con,controladora,REAL,9,8458188000,2025-01-01,12824558000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,DFP,2025-12-31,1,2026-02-11,2026-02-11,false,con,controladora,REAL,12,13698124000,2025-01-01,13698124000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2026-03-31,1,2026-05-13,2026-05-13,false,con,controladora,REAL,3,2397165000,2026-01-01,12656485000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.000/0001-91,001023,BCO BRASIL S.A.,ITR,2026-06-30,1,2026-08-12,2026-08-12,false,con,controladora,REAL,6,4794808000,2026-01-01,12272045000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2010-12-31,2,2011-04-29,2011-03-22,true,con,controladora,REAL,12,263142000,2010-01-01,263142000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2011-03-31,1,2011-05-19,2011-05-19,false,ind,total,REAL,3,48746000,2011-01-01,271659000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2011-06-30,1,2011-08-18,2011-08-18,false,ind,total,REAL,6,110939000,2011-01-01,274171000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2011-09-30,1,2011-11-14,2011-11-14,false,ind,total,REAL,9,152782000,2011-01-01,275088000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2011-12-31,4,2012-04-02,2012-03-22,true,con,controladora,REAL,12,116176000,2011-01-01,116176000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2012-03-31,1,2012-05-18,2012-05-18,false,ind,total,REAL,3,44050000,2012-01-01,111480000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2012-06-30,1,2012-08-16,2012-08-16,false,ind,total,REAL,6,115070000,2012-01-01,120307000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2012-09-30,1,2012-11-05,2012-11-05,false,ind,total,REAL,9,162546000,2012-01-01,125940000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2012-12-31,4,2013-04-01,2013-03-11,true,con,controladora,REAL,12,182029000,2012-01-01,182029000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2013-03-31,1,2013-05-15,2013-05-15,false,ind,total,REAL,3,59056000,2013-01-01,197035000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2013-06-30,2,2013-08-15,2013-08-15,true,ind,total,REAL,6,113053000,2013-01-01,180012000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2013-09-30,1,2013-11-07,2013-11-07,false,ind,total,REAL,9,143437000,2013-01-01,162920000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2013-12-31,2,2014-03-28,2014-02-26,true,con,controladora,REAL,12,195296000,2013-01-01,195296000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2014-03-31,2,2014-05-12,2014-05-09,true,ind,total,REAL,3,37683000,2014-01-01,173923000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2014-06-30,1,2014-08-15,2014-08-15,false,ind,total,REAL,6,82644000,2014-01-01,164887000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2014-09-30,2,2014-11-21,2014-11-14,true,ind,total,REAL,9,101872000,2014-01-01,153731000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2014-12-31,2,2015-04-17,2015-03-25,true,con,controladora,REAL,12,197462000,2014-01-01,197462000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2015-03-31,2,2015-05-18,2015-05-15,true,ind,total,REAL,3,19604000,2015-01-01,179383000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2015-06-30,1,2015-08-14,2015-08-14,false,ind,total,REAL,6,31278000,2015-01-01,146096000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2015-09-30,1,2015-11-13,2015-11-13,false,ind,total,REAL,9,51785000,2015-01-01,147375000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2015-12-31,4,2016-04-01,2016-03-22,true,con,controladora,REAL,12,133442000,2015-01-01,133442000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2016-03-31,1,2016-05-16,2016-05-16,false,ind,total,REAL,3,-11021000,2016-01-01,102817000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2016-06-30,1,2016-08-25,2016-08-25,false,ind,total,REAL,6,41439000,2016-01-01,150261000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2016-09-30,2,2016-11-16,2016-11-14,true,ind,total,REAL,9,152991000,2016-01-01,241306000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2016-12-31,2,2017-05-06,2017-03-27,true,con,controladora,REAL,12,140585000,2016-01-01,140585000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2017-03-31,1,2017-05-30,2017-05-30,false,ind,total,REAL,3,16200000,2017-01-01,167806000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2017-06-30,1,2017-08-14,2017-08-14,false,ind,total,REAL,6,90479000,2017-01-01,189625000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2017-09-30,1,2017-11-10,2017-11-10,false,ind,total,REAL,9,162109000,2017-01-01,149703000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2017-12-31,3,2018-04-27,2018-03-05,true,con,controladora,REAL,12,200457000,2017-01-01,200457000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2018-03-31,1,2018-05-15,2018-05-15,false,ind,total,REAL,3,79208000,2018-01-01,263465000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2018-06-30,1,2018-08-30,2018-08-30,false,ind,total,REAL,6,135368000,2018-01-01,245906000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2018-09-30,2,2018-11-20,2018-11-14,true,ind,total,REAL,9,188543000,2018-01-01,227453000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2018-12-31,2,2020-01-08,2019-08-28,true,con,controladora,REAL,12,307384000,2018-01-01,307384000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2019-03-31,1,2020-01-08,2019-08-28,false,ind,total,REAL,3,65582000,2019-01-01,293758000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2019-06-30,1,2020-01-08,2019-08-28,false,ind,total,REAL,6,160902000,2019-01-01,332918000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2019-09-30,1,2020-01-08,2019-11-07,false,ind,total,REAL,9,265350000,2019-01-01,384191000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2019-12-31,3,2020-06-01,2020-02-19,true,con,controladora,REAL,12,385145000,2019-01-01,385145000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2020-03-31,1,2020-06-01,2020-05-15,false,ind,total,REAL,3,107574000,2020-01-01,427137000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2020-06-30,1,2020-08-20,2020-08-20,false,ind,total,REAL,6,200047000,2020-01-01,424290000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2020-09-30,3,2020-11-20,2020-11-13,true,ind,total,REAL,9,327698000,2020-01-01,447493000,ok,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,DFP,2020-12-31,4,2021-08-27,2021-02-12,true,con,,REAL,,,,,sem_periodo_atual,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2021-03-31,2,2021-05-20,2021-05-13,true,ind,total,REAL,3,117241000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2021-06-30,1,2021-08-16,2021-08-16,false,ind,total,REAL,6,241760000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2021-09-30,3,2021-11-18,2021-11-16,true,ind,total,REAL,9,433313000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2022-03-31,4,2023-09-05,2022-05-25,true,con,controladora,REAL,3,5881000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2022-06-30,4,2023-08-16,2022-09-01,true,con,controladora,REAL,6,70189000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2022-09-30,4,2023-09-05,2022-12-15,true,con,controladora,REAL,9,-45166000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2023-03-31,4,2024-07-15,2023-05-18,true,con,controladora,REAL,3,-99529000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2023-06-30,3,2024-07-15,2023-09-15,true,con,controladora,REAL,6,111357000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2023-09-30,2,2024-04-15,2023-11-09,true,con,controladora,REAL,9,79850000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2024-03-31,2,2024-11-22,2024-07-20,true,con,controladora,REAL,3,-64893000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2024-06-30,4,2025-04-10,2024-11-22,true,con,controladora,REAL,6,-24206000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2024-09-30,3,2025-04-10,2024-12-03,true,con,controladora,REAL,9,145094000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2025-03-31,2,2025-08-29,2025-07-23,true,con,controladora,REAL,3,183265000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.000.208/0001-00,014206,BRB BANCO DE BRASILIA S.A.,ITR,2025-06-30,1,2025-08-29,2025-08-29,false,ind,total,REAL,6,510334000,,,sem_anual_anterior,backfill,2026-09-21T21:38:17.660Z
00.001.180/0001-26,002437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,DFP,2010-12-31,4,2012-03-20,2011-05-13,true,con,controladora,REAL,12,2247913000,2010-01-01,2247913000,ok,backfill,2026-09-21T21:38:17.660Z
00.001.180/0001-26,002437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,ITR,2011-03-31,1,2012-03-20,2011-06-20,false,con,controladora,REAL,3,1284566000,2011-01-01,3369008000,ok,backfill,2026-09-21T21:38:17.660Z
00.001.180/0001-26,002437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,ITR,2011-06-30,3,2012-03-20,2011-08-23,true,con,controladora,REAL,6,1611193000,2011-01-01,2283835000,ok,backfill,2026-09-21T21:38:17.660Z
00.001.180/0001-26,002437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,ITR,2011-09-30,2,2012-03-20,2011-11-10,true,con,controladora,REAL,9,3175503000,2011-01-01,3702926000,ok,backfill,2026-09-21T21:38:17.660Z
00.001.180/0001-26,002437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,DFP,2011-12-31,1,2012-04-17,2012-04-17,false,con,controladora,REAL,12,3732565000,2011-01-01,3732565000,ok,backfill,2026-09-21T21:38:17.660Z
00.001.180/0001-26,002437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,ITR,2012-03-31,2,2012-06-01,2012-05-29,true,con,controladora,REAL,3,1267964000,2012-01-01,3715963000,ok,backfill,2026-09-21T21:38:17.660Z
00.001.180/0001-26,002437,CENTRAIS ELET BRAS S.A. - ELETROBRAS,ITR,2012-06-30,1,2012-08-14,2012-08-14,false,con,controladora,REAL,6,2616751000,2012-01-01,4738123000,ok,backfill,2026-09-21T21:38:17.660Z
